Cod;Municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1200500;Sena Madureira;406840;414305;333783;344378;326580;353443;408301;417681;451718;444983;487323;579933;603116;541338;515917;523003;518416
1200609;Tarauacá;254832;253905;264331;292223;291852;323325;350095;359100;389278;416845;427263;455816;487685;466721;459857;492012;488825
1200708;Xapuri;136478;157446;151454;153190;153014;177770;171975;179431;200238;206311;215261;229196;247910;237548;238789;241696;239114
1200807;Porto Acre;131239;140206;126662;127613;138705;159141;178514;188266;195800;196772;209527;234373;255977;247970;239236;240258;233716
1300029;Alvarães;99957;88231;84818;84971;94354;97585;96712;91804;99666;128355;114095;123457;135761;119872;156737;166231;169816
1300060;Amaturá;39815;38884;40425;41698;46686;50572;55422;54619;63082;75500;74574;81323;80288;77858;71785;84436;83091
1300086;Anamã;57994;54397;54197;47800;54178;64364;95629;88858;88649;113462;98969;114643;108434;97967;104419;113023;116341
1300102;Anori;85449;76678;76994;73589;82500;87660;103090;105429;110013;284102;200816;209034;212846;181085;194681;201656;218253
1300144;Apuí;123298;121155;136925;140850;187963;157933;203928;168842;178479;204186;199354;214456;243197;241478;208375;202187;210012
1300201;Atalaia do Norte;65547;61404;57664;59951;66693;79501;86736;91863;117649;124352;123679;130070;157363;167750;179517;147550;142481
1300300;Autazes;246677;236322;247453;209416;222658;208847;197969;202494;264317;273199;258820;268937;301088;310468;313944;342940;357098
1300409;Barcelos;111204;119745;127491;132754;157058;142424;143163;137969;159943;179509;177682;182538;186409;177560;171003;167892;168178
1300508;Barreirinha;138321;126887;130116;135412;178379;161065;170137;179816;201472;215504;231019;267630;265239;234445;242777;250493;258823
1300607;Benjamin Constant;188150;175174;189477;176258;177477;190928;196988;205105;234187;269291;266857;321879;340917;287088;294058;292672;308682
1300631;Beruri;76865;74853;75368;75596;81616;88162;86549;100685;126379;139668;129256;146678;152408;147132;134545;147856;151535
1300680;Boa Vista do Ramos;55370;56001;57379;68642;72755;70052;120850;124025;94050;110281;120281;135855;123933;119225;119872;131389;139703
1300706;Boca do Acre;193266;215340;231002;258053;270287;254254;249519;232598;259372;298849;305318;321469;349995;335352;355940;381802;416148
1300805;Borba;259212;188433;189723;181775;200438;191295;199181;204935;267300;335559;310348;320939;321124;305363;293552;309689;303714
1300839;Caapiranga;113835;79371;77440;77536;84570;91021;88138;90691;114174;144744;138462;151193;164521;158730;157140;148742;156312
1300904;Canutama;57657;52984;55944;59096;72672;94209;79491;75431;84347;100904;102761;110622;111121;103189;107365;107714;107613
1301001;Carauari;245982;204151;193282;187179;205697;192490;194258;200682;221476;267918;236473;291387;296841;294006;293486;298855;306340
1301100;Careiro;216153;200105;178816;156295;170596;191866;188579;204711;245434;258616;250452;263287;274004;289287;270905;285115;314585
1301159;Careiro da Várzea;520389;464915;167364;370294;239040;271272;204985;207119;321075;378539;296418;318442;304129;315236;320647;327437;337266
1301209;Coari;2813233;2917123;3310776;3808879;4439112;3972559;4420113;2843998;3413217;5177420;6145677;6193174;3911608;2648546;1267703;1382384;2015916
1301308;Codajás;204056;134348;129135;129595;187558;181999;169326;153645;205946;763094;651987;668837;821136;869367;705718;485135;500695
1301407;Eirunepé;191547;168273;164184;209536;255208;188775;207590;231863;259180;309886;413282;462353;482273;472182;431182;453508;517544
1301506;Envira;94315;96204;82095;89164;93668;100879;109893;109124;122421;137849;166072;158754;157310;151223;154220;155451;157496
1301605;Fonte Boa;216153;198974;187944;180554;200132;155433;153213;147539;163356;182910;178365;180192;190996;183207;164273;175124;180920
1301654;Guajará;84508;77395;71761;71749;78414;87619;93217;90771;88193;99389;113141;125949;126299;124824;120629;121207;123592
1301704;Humaitá;205055;211797;233462;251836;259935;296045;298120;329708;371497;455158;449224;498829;532674;527670;522519;581067;622149
1301803;Ipixuna;78237;75313;75914;81626;96843;89949;100874;103487;118944;121088;123572;145007;141413;141239;136838;146203;152286
1301852;Iranduba;349128;328357;307629;328510;341411;368881;360590;394961;523299;603363;558884;654062;667048;735082;677073;728387;679140
1301902;Itacoatiara;822056;778163;1197362;1068153;1106960;1245797;1224554;1363466;1450873;1770989;1914396;1957160;2004220;2063599;2049084;2068442;1881004
1301951;Itamarati;55928;53183;47774;50605;54319;55098;56531;55274;73403;84451;84199;99695;95706;92902;91790;98087;95164
1302009;Itapiranga;57122;60161;67544;77052;65377;77407;68919;69738;140076;154356;129840;93565;101458;94286;110832;112553;109917
1302108;Japurá;44762;48898;51041;55793;59108;36241;38820;37259;55652;70537;66962;69230;73266;70910;64532;64783;62832
1302207;Juruá;43591;43712;44781;48976;54887;57722;60491;54743;83242;95946;114768;114814;106865;105892;97305;104365;103844
1302306;Jutaí;160069;164281;159220;153991;167824;134738;127622;127593;153252;177452;201039;244854;229531;230389;214460;228390;224218
1302405;Lábrea;181506;169539;167804;185408;212023;288472;359718;377228;350621;389191;464856;517177;464292;457849;486478;518024;495068
1302504;Manacapuru;1039880;1015920;1035848;720385;810986;803946;867371;962771;1105594;1402264;1246037;1670903;1592768;1656797;1426553;1594944;1428130
1302553;Manaquiri;94880;97885;96801;100080;107529;124614;129541;140620;212966;277217;229939;247603;260494;271175;271098;246864;275153
1302603;Manaus;57602408;60053474;67879161;68780470;75386563;77921610;78862658;77892043;85670227;87540708;81132798;86715161;84927011;78552769;76084749;76515860;78192321
1302702;Manicoré;276555;270033;250221;317289;291438;299360;330892;343385;429386;520558;547471;544705;578841;576652;515966;518164;528955
1302801;Maraã;97549;111121;104950;95993;108263;108785;123356;122331;111089;129427;125251;131615;148297;143643;152891;160800;128444
1302900;Maués;231614;231556;248888;273577;295247;361366;414125;410014;463813;476081;434231;490408;490497;446130;445004;479691;501299
1303007;Nhamundá;92602;88788;88908;104327;113906;116600;116056;117469;118961;136061;155850;175183;152570;144300;146987;148660;151529
1303106;Nova Olinda do Norte;133627;130643;132119;129824;145553;156087;171665;180177;219666;267032;222001;214490;236532;229464;230010;244882;246712
1303205;Novo Airão;58027;54460;55886;53636;53415;88672;90550;105934;126102;115207;112760;125836;141661;137060;136844;137665;136020
1303304;Novo Aripuanã;109948;110873;109578;102156;385017;245542;141498;146356;133339;182900;160055;190446;188257;184255;184427;191572;199378
1303403;Parintins;879486;717976;719260;743087;852155;761612;810274;845185;987591;1214534;1185722;1372964;1229204;1111383;1112916;1141231;1119341
1303502;Pauini;87347;87344;86301;92038;101966;99654;106420;109359;130952;155646;142427;146782;172021;162851;154360;157616;156937
1303536;Presidente Figueiredo;296142;386502;522109;456636;493801;440889;445275;465940;537112;881344;862523;981004;834959;891435;592884;465576;822429
1303569;Rio Preto da Eva;222628;225693;227147;236177;254515;256618;244385;261638;331048;423630;464873;443158;467216;520173;484082;401414;383425
1303601;Santa Isabel do Rio Negro;57839;51017;52276;45786;53633;78745;91188;92589;111639;137783;125989;142304;155218;181885;137948;128241;137548
1303700;Santo Antônio do Içá;135985;125730;128784;134780;151939;132667;141067;147728;142590;154910;157422;171564;184054;175088;177267;180599;181268
1303809;São Gabriel da Cachoeira;190742;176604;193385;215252;217533;243672;281025;308136;277633;286263;274064;294065;324035;311429;307689;328822;329147
1303908;São Paulo de Olivença;133517;127473;131549;132246;145843;152528;162327;170297;185926;204240;208819;234769;240437;226946;223498;246059;251094
1303957;São Sebastião do Uatumã;40882;38901;39459;41413;49370;52332;52831;54346;72768;87294;88371;100350;106079;99109;101183;105849;117170
1304005;Silves;73371;67824;68600;65726;70903;66858;82027;89767;82598;97921;91102;114021;94098;122965;107525;100707;101399
1304062;Tabatinga;217344;247135;252153;264660;288857;308745;317914;365912;404844;463747;402300;444482;461838;448482;458976;484064;533611
1304104;Tapauá;106004;97671;100055;102988;110708;121344;127914;133499;144055;224143;187817;207304;239058;235666;233978;354112;247513
1304203;Tefé;622552;503355;490214;563083;615225;599376;475059;472344;597962;850920;815377;733703;895634;832610;711912;780152;934211
1304237;Tonantins;69488;69556;72418;76880;90466;90907;93682;94161;100022;120722;119442;135347;135029;134306;128545;129412;133833
1304260;Uarini;74322;70920;68972;85514;96220;88153;83378;79266;134150;118214;127780;144143;152996;153214;186744;194958;187766
1304302;Urucará;142950;137243;139999;136139;160150;127182;122980;124436;174213;413452;332574;348610;380814;363271;322693;311737;330475
1304401;Urucurituba;88456;80304;78295;68981;75718;102139;103197;116715;125662;134705;144715;149664;150422;133407;134585;149531;166351
1400027;Amajari;73284;71154;72344;75296;76203;107665;109374;118411;131319;147518;152009;163565;133547;144224;154332;170443;169685
1400050;Alto Alegre;222875;214527;223415;237221;251693;199932;203191;210234;230475;233632;223959;246478;239791;259185;271925;288522;280115
1400100;Boa Vista;5907528;5592878;5574916;5876987;6676295;6890191;7294387;8031783;8748671;8733614;8523038;9109495;9262821;8878105;8786337;9349886;10042255
1400159;Bonfim;153023;144204;156552;162473;171452;166345;173459;183732;185395;196022;204289;260547;233588;262595;268006;278835;281340
1400175;Cantá;125828;119969;129821;150491;154560;173940;205228;211661;212977;234129;224137;248839;252743;245671;245035;258787;268479
1400209;Caracaraí;238073;221926;241930;250795;255095;274838;282074;329224;297802;324574;324796;351307;336393;359581;354303;363386;347038
1400233;Caroebe;78773;73309;75635;81169;86864;104393;109080;119757;125201;131343;136011;168384;166420;166787;164102;170320;178391
1400282;Iracema;69822;69143;73144;80579;96795;91860;96827;102887;130339;129946;127796;155002;150555;148186;147512;157687;159894
1400308;Mucajaí;168121;160462;167461;178717;182586;209971;215875;231807;251453;295655;258404;284530;259310;290812;293314;313397;309567
1400407;Normandia;99201;100117;101907;94462;98927;118783;128999;112240;127120;129820;126564;139763;139389;144319;140359;155126;153494
1400456;Pacaraima;155223;150087;157647;141118;146996;161718;168659;160394;175569;172715;168523;178066;175649;170896;178072;179497;204457
1400472;Rorainópolis;250728;244778;257691;281759;310690;332059;365150;396087;412335;445680;450610;548752;550013;547670;543509;554432;547425
1400506;São João da Baliza;76161;78037;79271;87062;84082;92616;100570;112694;112721;129063;131391;149372;146915;145542;151837;162098;177730
1400605;São Luiz;80252;78740;82039;85708;92120;84511;85675;91796;101956;106678;108919;126561;118513;117617;119723;124483;139073
1400704;Uiramutã;61050;56712;55057;60236;63084;75804;81687;88836;93937;103899;102062;110732;108941;114123;112261;121737;111043
1500107;Abaetetuba;727822;705016;778753;787843;834803;898099;911760;942873;996908;1119130;1165547;1211037;1330938;1396584;1350483;1397447;1413838
1500131;Abel Figueiredo;105507;85629;85319;89255;85589;107080;89728;96208;91528;100557;64741;78215;87387;77993;83088;84256;82210
1500206;Acará;639428;761202;665549;765491;822189;924015;700507;775503;752671;794107;740345;1184126;727165;750537;855016;974063;914142
1500305;Afuá;276535;236370;239286;222662;215536;224335;240596;247917;275430;300963;339181;356227;379561;380558;344831;374370;357844
1500347;Água Azul do Norte;195248;206870;239969;414309;511384;412509;419728;341198;308866;329953;328598;390633;403669;444209;468622;463288;423047
1500404;Alenquer;326955;334070;347771;338519;332603;385043;425394;498701;617846;568663;532268;760989;669957;607336;715494;636632;566773
1500503;Almeirim;1081690;1031039;1082946;981035;988613;916822;1065607;703292;985080;832168;682882;618022;633432;556668;639466;696055;591585
1500602;Altamira;922769;899770;996725;1008990;1023626;1297865;1271812;1278792;1438529;2030814;3222678;4203352;4974284;3749122;2705082;2613446;2722307
1500701;Anajás;110756;100535;101348;119635;120936;139272;141109;157998;162868;178565;190385;209537;210571;211949;195756;213952;206819
1500800;Ananindeua;4400837;4293185;5161791;5509098;6199188;6582263;6648723;6553877;7002195;7301479;7469738;6657229;7272066;7287279;7278461;7294112;7523457
1500859;Anapu;106500;116796;128309;134930;126804;151890;166791;162293;190489;216034;261525;285108;324109;353777;335925;366993;368918
1500909;Augusto Corrêa;163826;163346;164501;176852;182846;206461;215464;207079;227642;267349;297574;344462;317025;336305;335804;347734;305846
1500958;Aurora do Pará;206109;223509;239259;272344;195227;215569;190993;201819;363660;293213;257649;313280;302734;301283;323688;289859;260843
1501006;Aveiro;59688;58230;65388;79764;76277;92108;105684;110957;95539;104733;99245;118644;115889;114762;130610;151219;118079
1501105;Bagre;90679;88695;88494;93939;94361;111247;108222;117249;134639;139791;149709;192001;175607;172860;178732;184170;207936
1501204;Baião;177814;175225;171034;190553;206180;215510;212466;227741;289059;308241;296755;351441;326084;359979;366903;372619;346807
1501253;Bannach;86426;93184;95038;74849;66530;54813;54155;51275;58427;66281;68341;69804;73849;79893;86362;79901;78144
1501303;Barcarena;3720343;3277779;4125388;3951492;4700538;4946783;4596988;3845078;3803168;3878809;2930395;3612309;4916557;6456361;5431844;5035198;4737587
1501402;Belém;25965877;25892372;29091318;28283884;30221383;31054188;31399956;32021085;32105384;33779350;38501409;36869694;36137386;34213296;31921455;31603840;31484849
1501451;Belterra;89991;120754;143078;160722;153140;154603;160227;181045;187620;254057;219783;364810;316909;164013;164479;165168;159192
1501501;Benevides;482975;461142;496045;558772;730028;1014189;1020342;912148;991877;1052854;1160171;1252229;1323086;1407711;1398609;1456664;1589870
1501576;Bom Jesus do Tocantins;100991;104615;116972;112258;108546;109148;122120;123375;148285;148460;123401;144234;152605;157485;166506;172035;176017
1501600;Bonito;54572;57337;66462;63572;60498;61228;75661;84153;96973;86565;80241;108040;102596;101126;117538;142414;151796
1501709;Bragança;593151;603549;634738;628053;698021;771617;785075;802233;869653;966364;1104734;1329153;1149106;1144147;1135194;1166172;1127832
1501725;Brasil Novo;171109;174347;176014;167454;166255;175044;169519;179958;178455;204651;188837;215346;229128;244471;247973;250850;251874
1501758;Brejo Grande do Araguaia;55211;59874;71998;71145;62605;57089;52199;57266;60116;62942;60206;67421;71625;75264;82818;84194;78180
1501782;Breu Branco;514852;487967;544748;532055;515893;557552;727852;500910;911968;970181;598451;643541;702870;607158;582041;606490;569751
1501808;Breves;572700;561318;664950;605656;575901;639317;582949;626770;620624;671050;734661;754527;783000;764788;727345;776736;813768
1501907;Bujaru;274923;299255;321713;338460;410697;339373;323233;351313;389507;375585;420089;606400;479667;462277;521854;521213;453283
1501956;Cachoeira do Piriá;87746;85410;82733;84765;88062;99779;103652;102755;130930;147882;146946;189326;179948;177955;186243;196563;179439
1502004;Cachoeira do Arari;106364;100975;103535;106874;107600;105519;115969;125677;134120;158897;175124;194431;184648;186581;183652;180235;183310
1502103;Cametá;733726;675723;583370;638146;651805;703592;705778;756542;811147;875911;901583;1003625;1068879;1156922;1233261;1236745;1136608
1502152;Canaã dos Carajás;226622;416037;1227326;1428249;1451583;1372287;2453561;1316250;3620351;4646656;4684993;4732430;3530816;4073491;2595737;4272976;7106814
1502202;Capanema;752623;672939;714711;706574;798566;837675;915086;959218;1027083;1057826;980838;1125567;1151577;1122353;1067399;1010968;1027476
1502301;Capitão Poço;269281;267707;274833;283694;348579;349937;333328;350603;397234;402253;439359;502438;479971;513910;520138;474410;499402
1502400;Castanhal;1618306;1648907;2005237;2113563;2270492;2475398;2640938;2685689;2969452;3026765;3431791;3311196;3413588;3755985;3906023;3927133;3911969
1502509;Chaves;122282;120703;121836;123526;108042;112399;124755;131057;141230;155086;166908;187164;185521;195798;193291;189566;187473
1502608;Colares;51376;49893;55490;58337;74906;82988;81003;71856;71881;71083;71367;82617;76069;77101;78738;82596;80885
1502707;Conceição do Araguaia;391032;473448;455539;474140;478943;513933;496821;477315;510642;568802;623238;553567;584436;609994;588660;584558;552662
1502756;Concórdia do Pará;123538;145878;151322;173158;201959;193666;180956;210500;233409;251533;283627;323185;314173;304967;278333;305519;293657
1502764;Cumaru do Norte;122088;127163;153797;177071;161611;146433;140610;143840;184386;214200;226047;253082;258650;270942;289693;287815;289017
1502772;Curionópolis;127599;119870;133233;134965;139404;173776;168583;164878;198590;232715;288836;282126;259981;403340;642486;898768;820223
1502806;Curralinho;96579;97003;100817;101431;114283;124716;129416;138576;158506;172631;177020;213190;209194;559619;705756;659331;494536
1502855;Curuá;69598;72763;76743;82129;92309;91728;112895;122483;160236;98990;104661;107448;109995;114464;117965;126378;124520
1502905;Curuçá;140874;160445;157059;162908;176529;180452;199207;213190;226725;249577;243609;299423;277198;283112;288579;288654;290817
1502939;Dom Eliseu;470846;570975;599903;535196;623155;528509;532523;529828;532496;634453;543632;572313;599625;664806;711580;710394;685451
1502954;Eldorado do Carajás;181156;192789;239357;277873;310518;285571;267236;305277;342084;337583;346511;338914;343624;336972;345411;375552;377700
1503002;Faro;44184;45392;46029;58340;56737;66203;67044;72039;50411;48214;59895;73752;54067;59122;56733;59038;54936
1503044;Floresta do Araguaia;150204;204453;212216;205689;172740;207112;266869;306997;462832;584133;459531;485512;395371;388146;341685;260869;340215
1503077;Garrafão do Norte;130247;121846;153022;143775;172094;150954;171949;168529;206670;184620;207069;233437;229557;225176;234669;253195;218755
1503093;Goianésia do Pará;230794;221647;269342;307086;315503;334674;293463;273312;291634;297340;330660;363736;400615;380194;405606;390341;339466
1503101;Gurupá;125741;119585;123432;133773;144534;155616;158301;169144;177157;190802;195556;222682;228770;230741;217883;240958;269765
1503200;Igarapé-Açu;203569;182831;199201;183993;203203;210740;212013;224309;233637;325053;309686;366783;341866;349362;362098;318200;355099
1503309;Igarapé-Miri;328875;311917;330817;364534;373935;386625;385275;394248;404850;430932;469448;508830;518250;438626;382639;393683;389802
1503408;Inhangapi;51509;58677;69407;69664;66385;74790;77985;74357;78355;95714;92693;123370;108836;111554;121809;119835;126156
1503457;Ipixuna do Pará;368235;437070;505965;476024;466290;479118;560141;505495;662166;786472;643582;640145;613977;510884;525444;565341;519093
1503507;Irituia;152092;161571;178700;167029;157286;168889;164469;169827;180579;181994;177129;220342;220975;239185;237939;226881;213513
1503606;Itaituba;842870;932486;1106965;1095899;1198940;1367668;1354298;1347369;1547304;1466649;1357779;1583954;1805211;1875895;1730794;1850541;1814617
1503705;Itupiranga;265223;287424;374001;392934;427858;378773;386092;404206;412111;428660;430991;518913;534357;531041;554132;585627;519058
1503754;Jacareacanga;96690;93776;99751;101608;107400;125730;139158;151223;170183;178578;205943;216669;224035;236840;258349;342416;461547
1503804;Jacundá;341118;328446;405734;423943;437803;474297;446346;471355;449312;475142;503813;512263;523081;536967;530639;511200;484235
1503903;Juruti;225804;265140;248614;214340;228660;339167;451959;586313;820951;895672;829579;1180190;1140279;899878;1019781;1093281;996732
1504000;Limoeiro do Ajuru;236039;181691;191926;231999;227793;231908;236563;284959;331214;349084;418404;533285;446872;474052;427889;473976;404871
