Sigla;Código;Município;1970;1975;1980;1985;1996
AL;2708402;São José da Tapera;1176.557964;1690.056943;2578.052648;3728.954163;5041.429038
AL;2708501;São Luís do Quitunde;2772.464361;3287.673247;4140.127904;12230.04876;23006.42876
AL;2708600;São Miguel dos Campos;3550.60973;5027.52761;7559.767253;26343.67394;50163.23006
AL;2708709;São Miguel dos Milagres;414.2047136;425.1343006;463.3825663;1482.982535;4319.742872
AL;2708808;São Sebastião;672.2930536;669.6983248;708.4386328;1695.757645;4939.492483
AL;2708907;Satuba;1433.834138;1677.418806;2083.946351;4481.849732;10337.41764
AL;2708956;Senador Rui Palmeira;;;;343.2834105;5343.60191
AL;2709004;Tanque d'Arca;480.4413715;390.08109;336.3348206;1218.348166;3729.683355
AL;2709103;Taquarana;1181.521201;1026.355049;946.7954505;3455.973552;6955.887874
AL;2709152;Teotônio Vilela;;;;;12472.86207
AL;2709202;Traipu;1519.111579;1632.18319;1862.303941;4395.41836;8175.661403
AL;2709301;União dos Palmares;5515.51026;7279.969194;10204.1262;24826.48702;43816.598
AL;2709400;Viçosa;2743.497103;3748.4938;5438.905622;9927.436803;16833.77949
AM;1300029;Alvarães;;;;0.157433326;11012.48797
AM;1300060;Amaturá;;;;408.7608922;5460.145277
AM;1300086;Anamã;;;;0.011964909;3516.338816
AM;1300102;Anori;989.1711101;1559.200667;2717.521653;125.0959082;5255.205232
AM;1300144;Apuí;;;;;11030.59765
AM;1300201;Atalaia do Norte;7564.103324;5274.474298;4330.655681;4236.687104;23274.46525
AM;1300300;Autazes;1358.339071;2299.482433;1328.954138;357.7033698;14874.57172
AM;1300409;Barcelos;1148.498507;1417.657029;2060.462256;2244.137203;9142.8294
AM;1300508;Barreirinha;1156.178239;1415.834699;6033.823625;191.8064934;13314.9529
AM;1300607;Benjamin Constant;20676.97524;16145.28847;27480.10195;6373.40395;30333.21052
AM;1300631;Beruri;;;;167.8991457;9598.23221
AM;1300680;Boa Vista do Ramos;;;;2.638694395;6921.673772
AM;1300706;Boca do Acre;2036.859614;3334.737233;6428.577545;5401.426724;23783.68197
AM;1300805;Borba;2179.421399;597.9913326;1575.244356;1534.850496;19356.57453
AM;1300839;Caapiranga;;;;5.269697264;10648.03583
AM;1300904;Canutama;332.9326054;434.0745538;666.3847853;1116.626446;9418.855896
AM;1301001;Carauari;1987.968926;1690.257347;2161.343323;5178.515732;11038.66086
AM;1301100;Careiro;618.4888362;7166.466787;2890.642313;48.75954829;12331.87451
AM;1301159;Careiro da Várzea;;;;;7142.281087
AM;1301209;Coari;4861.702994;4452.681802;4801.839552;5937.816907;38273.81577
AM;1301308;Codajás;1203.879109;1341.141536;2698.532708;1276.864059;5936.815235
AM;1301407;Eirunepé;1234.381707;922.4414658;811.6726359;1320.06221;19480.35591
AM;1301506;Envira;835.0356446;1052.30245;1561.452927;2117.997649;7871.738984
AM;1301605;Fonte Boa;1047.364009;995.4085728;1113.929883;1518.43664;13841.85022
AM;1301654;Guajará;;;;;4931.980036
AM;1301704;Humaitá;3046.149459;6232.743692;15016.20107;14149.86374;69574.76806
AM;1301803;Ipixuna;527.846366;566.5240251;715.9486515;1372.529647;10541.72577
AM;1301852;Iranduba;;;;1050.002058;14895.77132
AM;1301902;Itacoatiara;6215.823621;13575.21812;15982.46121;15483.26963;57086.39241
AM;1301951;Itamarati;;;;0.378924583;5601.468026
AM;1302009;Itapiranga;265.6538268;656.7753124;1419.973157;802.7674389;10000.43172
AM;1302108;Japurá;3340.358909;3042.043051;3262.047844;2232.958572;5289.322417
AM;1302207;Juruá;19.46974301;110.8032852;742.5022981;859.5075433;5443.131498
AM;1302306;Jutaí;930.2210548;668.729198;566.0661084;987.996885;11676.59138
AM;1302405;Lábrea;519.6258078;1810.611839;7428.698735;5261.24464;19720.77627
AM;1302504;Manacapuru;5564.019891;7614.362537;7126.40473;3683.943066;41414.4037
AM;1302553;Manaquiri;;;;53.02135513;9105.075811
AM;1302603;Manaus;502093.8451;724238.7211;1267040.084;1057223.037;4190048.09
AM;1302702;Manicoré;2518.627589;3598.560302;6054.054975;5753.504982;26713.07586
AM;1302801;Maraã;681.4410053;615.235895;654.0452792;910.1086734;5117.144675
AM;1302900;Maués;3853.278472;5991.153945;5213.005714;9239.261819;44923.0512
AM;1303007;Nhamundá;1219.563069;1339.366128;1731.996883;2119.777834;12124.79351
AM;1303106;Nova Olinda do Norte;1246.928874;1543.81355;2250.612684;1618.925322;5687.952694
AM;1303205;Novo Airão;417.5178223;396.8542728;477.8480136;0.375301704;9481.651508
AM;1303304;Novo Aripuanã;4032.724603;2038.453695;861.8907864;815.2270038;8424.752833
AM;1303403;Parintins;6926.793736;6175.246147;6482.298689;9412.803969;61207.47667
AM;1303502;Pauini;333.5815969;400.4591718;566.0661084;796.5604842;6553.554748
AM;1303536;Presidente Figueiredo;;;;34647.39611;23559.4837
AM;1303569;Rio Preto da Eva;;;;5.861078626;10866.56553
AM;1303601;Santa Isabel do Rio Negro;1014.049115;434.3596433;219.0749355;594.9175324;10981.66432
AM;1303700;Santo Antônio do Içá;3807.632741;7773.358905;2845.62903;3297.586731;18456.2462
AM;1303809;São Gabriel da Cachoeira;10065.09998;14376.20009;24178.13909;20573.10465;101466.1934
AM;1303908;São Paulo de Olivença;625.195081;1955.121055;1066.979478;1734.056168;11235.38276
AM;1303957;São Sebastião do Uatumã;;;;126.5854876;3106.182686
AM;1304005;Silves;84.36888637;1279.050596;1116.69405;334.873321;6307.156379
AM;1304062;Tabatinga;;;;21384.77518;100165.7083
AM;1304104;Tapauá;38.93948602;1105.98056;2380.863025;72.70513207;8559.869811
AM;1304203;Tefé;1490.625158;1533.325037;1857.174684;4097.069519;76413.08185
AM;1304237;Tonantins;;;;2.585863497;11030.21857
