Valor Total dos Rendimentos recebidos
Sigla,Código,Município,1970,1980,1991,2000,
BA,2902005,Aracatu,251.5665219897,697.0359270738,449.1833401647,1065.637787549,
BA,2902054,Araças,,,364.8524614355,648.6590014461,
BA,2902104,Araci,550.1938187658,1674.1726867363,1410.8434400418,2781.1585755422,
BA,2902203,Aramari,249.3850886921,540.5830830261,336.0615081461,884.8473113863,
BA,2902252,Arataca,,,430.2670990955,794.6636054352,
BA,2902302,Aratuípe,276.5500706425,420.4133586784,364.1816445776,689.6336231926,
BA,2902401,Aurelino Leal,421.5076180681,1872.6403420367,609.1956518184,1052.6618165447,
BA,2902500,Baianópolis,189.5826944275,367.9888456982,489.484170148,938.4447958236,
BA,2902609,Baixa Grande,337.1643408353,1123.67118983,672.1436384158,1496.1339254426,
BA,2902658,Banzaê,,,470.0398747155,746.6319182585,
BA,2902708,Barra,1091.9702238902,3031.0581505043,1260.6116324558,2462.4575204507,
BA,2902807,Barra da Estiva,262.2504225974,1049.3816569338,765.5874653987,2362.5115587255,
BA,2902906,Barra do Choça,280.3919835171,1513.6004624162,1255.3834604772,2890.3494270238,
BA,2903003,Barra do Mendes,320.1081807101,820.9442332065,744.3105590447,1207.9366434741,
BA,2903102,Barra do Rocha,285.6914069866,648.4327060807,338.2810679297,636.9933120711,
BA,2903201,Barreiras,504.3962842629,5199.575601705,11600.5908081441,29863.6904466682,
BA,2903235,Barro Alto,,,527.789269718,899.8352875864,
BA,2903276,Barrocas,,,,,
BA,2903300,Governador Lomanto Júnior,240.3636006993,656.413120458,269.3277022207,700.8519693756,
BA,2903409,Belmonte,1093.8423711199,1968.5523648792,1191.7435336329,2314.4725305612,
BA,2903508,Belo Campo,265.5269218791,873.2517600883,754.4789540062,1732.5720581931,
BA,2903607,Biritinga,233.8714928305,574.8109034891,621.1591060361,1175.0632094719,
BA,2903706,Boa Nova,706.0875282483,1381.4390133038,435.6565728151,1102.7750526813,
BA,2903805,Boa Vista do Tupim,526.8330554504,901.5720290076,1557.3641546198,1065.8123233548,
BA,2903904,Bom Jesus da Lapa,1375.2926929005,4536.7293211547,3669.9409327896,6853.848605081,
BA,2903953,Bom Jesus da Serra,,,365.4739487847,524.6480725496,
BA,2904001,Boninal,271.4159219155,451.1688292204,569.6286024661,950.0827733921,
BA,2904050,Bonito,,,561.6742677197,971.2677224273,
BA,2904100,Boquira,592.5379810169,1119.0290685348,776.6033821051,1778.1652512512,
BA,2904209,Botuporã,453.0277344621,770.8393695135,252.1132803134,614.5922444505,
BA,2904308,Brejões,254.5434003931,860.4277807166,601.0511516407,1576.3946400361,
BA,2904407,Brejolândia,145.9588610704,475.1770111614,454.4202274173,472.5944299809,
BA,2904506,Brotas de Macaúbas,277.0690913252,499.676167314,530.7377629871,819.2072527011,
BA,2904605,Brumado,1496.6140191066,4863.8535471489,6145.3382959961,8298.3168160127,
BA,2904704,Buerarema,811.06888488,2904.2588405355,1037.4456835982,1617.309581742,
BA,2904753,Buritirama,,,356.0559679048,695.6934802698,
BA,2904803,Caatiba,230.6007926625,672.2553949357,518.5312843708,1026.1005965805,
BA,2904852,Cabaceiras do Paraguaçu,,,404.4813464365,1002.0837447504,
BA,2904902,Cachoeira,1240.396607871,2376.2110576653,1681.7683117691,3619.9044700714,
BA,2905008,Caculé,358.143601428,833.0608297661,826.0152545532,2945.1744730516,
BA,2905107,Caém,185.6441296567,512.0116367541,550.0784179727,799.3347464183,
BA,2905156,Caetanos,,,345.5048892962,797.1528464164,
BA,2905206,Caetité,1115.72725998,2789.4646968594,2219.7243445019,4905.7550853363,
BA,2905305,Cafarnaum,361.9613513285,1456.9963063132,576.7361328084,1371.0495835816,
BA,2905404,Cairu,273.1198948458,830.9556624603,801.6625736362,929.7510412987,
BA,2905503,Caldeirão Grande,267.1342429132,802.8981754127,642.1051763151,653.5429004839,
BA,2905602,Camacan,1205.2114515726,4702.3491528639,2525.9327652579,3301.0534309976,
BA,2905701,Camaçari,2407.6402950531,12463.6280469478,11334.4413742566,26234.3812376372,
BA,2905800,Camamu,1064.3780405585,4615.6125858455,1421.4461978523,2631.6409612812,
BA,2905909,Campo Alegre de Lourdes,338.5561281408,1048.9808305697,1805.8141285054,1749.3684097871,
BA,2906006,Campo Formoso,1151.0873562106,4492.2447187474,2562.8133296787,5578.0128492089,
BA,2906105,Canápolis,206.0067511514,462.8693208791,287.6279695006,782.5954942473,
BA,2906204,Canarana,540.3971825654,1922.9869740128,1337.1878599426,1877.4868684075,
BA,2906303,Canavieiras,1665.5721654005,4850.4912345819,1655.46374381,4231.8244898417,
BA,2906402,Candeal,281.6919515212,520.2478882137,405.7781856911,698.1905181433,
BA,2906501,Candeias,2401.741629827,6870.970596686,6472.4735452468,11322.1269765447,
BA,2906600,Candiba,318.4815292968,608.9484864943,477.1123327778,860.9482767344,
BA,2906709,Cândido Sales,422.3475230462,1549.4556038656,1260.4937740086,3121.15960797,
BA,2906808,Cansanção,295.3005385084,1375.025343427,1676.4929955644,1774.8547994813,
BA,2906824,Canudos,,,533.6905858483,1027.4283313215,
BA,2906857,Capela do Alto Alegre,,,909.2594137462,1269.9601077098,
BA,2906873,Capim Grosso,,,929.6276722555,2500.4120910564,
BA,2906899,Caraíbas,,,584.4621375424,1275.2034815034,
BA,2906907,Caravelas,810.3352969877,3645.4487532336,1067.6705198918,3809.2944234429,
BA,2907004,Cardeal da Silva,80.4627035997,281.3872764257,291.8931800187,568.2067330554,
BA,2907103,Carinhanha,735.5586244424,1638.3240420255,928.1622686453,1781.4183758031,
BA,2907202,Casa Nova,316.0526671449,1676.9631031382,2590.89797258,4936.2190313374,
BA,2907301,Castro Alves,1306.8167574695,2695.6334225469,1337.6703706335,2018.7776422598,
BA,2907400,Catolândia,2.5458109463,169.7794917604,134.3339414396,194.4969383022,
BA,2907509,Catu,1385.2565368814,4783.8195980535,3244.5981654886,6467.3110858,
BA,2907558,Caturama,,,366.2148507936,568.4975385216,
BA,2907608,Central,353.1254349764,1362.2096529976,743.4641460576,1365.6776492545,
BA,2907707,Chorrochó,196.6218520289,561.8275075957,564.071828151,697.2535761325,
BA,2907806,Cícero Dantas,776.5370954,2496.869023114,1392.4566351514,3147.959814987,
BA,2907905,Cipó,182.9591399798,661.8900502504,702.577940926,1433.9376849959,
BA,2908002,Coaraci,1012.873211584,3069.3067352295,1547.9066181966,2727.8778516002,
BA,2908101,Cocos,234.6698374932,941.7372412063,715.4517445322,1470.6039106591,
BA,2908200,Conceição da Feira,471.9937360565,1171.2765117865,933.6217182476,1634.6541774719,
BA,2908309,Conceição do Almeida,627.9493027525,1255.1772748437,979.26390533,1783.5974967495,
