Código;Município;renda_1970;renda_1980;renda_1991;renda_2000
2707909;Santa Luzia do Norte;794,294,948,292;2,227,704,307,293;3,507,712,267,381;5,332,209,029,773
2708006;Santana do Ipanema;9,424,236,444,322;23,188,089,676,568;17,507,965,795,472;38,775,571,793,658
2708105;Santana do Mundaú;4,386,362,671,155;6,047,291,460,588;5,024,810,234,769;744,390,796,979
2708204;São Brás;1,302,906,221,749;2,026,324,231,322;2,157,313,251,427;439,606,802,886
2708303;São José da Laje;10,170,650,043,229;15,231,296,992,565;10,717,225,000,305;17,731,696,796,339
2708402;São José da Tapera;3,731,961,677,446;905,838,907,647;6,754,225,575,828;12,081,699,687,906
2708501;São Luís do Quitunde;5,646,674,402,241;1,739,866,048,859;14,389,106,049,696;20,503,034,286,714
2708600;São Miguel dos Campos;13,611,940,807,995;45,642,344,510,128;32,540,409,390,163;62,144,525,925,955
2708709;São Miguel dos Milagres;963,609,740,083;2,375,201,330,084;1,944,437,303,886;4,628,562,813,987
2708808;São Sebastião;3,265,683,934,532;8,557,424,225,064;912,867,366,335;20,432,207,371,416
2708907;Satuba;2,524,441,212,073;7,534,447,329,703;6,742,382,990,386;16,189,164,067,454
2708956;Senador Rui Palmeira;;;2,637,475,233,017;4,601,648,364,145
2709004;Tanque d'Arca;845,858,734,923;2,623,660,357,776;2,840,109,048,981;4,258,637,873,674
2709103;Taquarana;268,619,782,558;6,235,594,273,996;6,450,459,946,022;1,056,548,487,461
2709152;Teotônio Vilela;;;14,331,137,447,673;30,069,837,510,456
2709202;Traipu;2,439,426,204,162;7,614,953,121,236;4,927,437,666,541;10,051,334,271,294
2709301;União dos Palmares;14,826,333,223,189;35,729,311,721,648;31,275,544,190,033;52,852,186,612,659
2709400;Viçosa;7,786,982,317,994;14,428,655,863,972;12,169,518,497,504;24,050,217,433,982
1300029;Alvarães;;;5,537,745,020,952;11,272,964,718,777
1300060;Amaturá;;;201,603,454,645;4,258,084,845,783
1300086;Anamã;;;4,369,364,683,442;6,420,812,047,894
1300102;Anori;3,495,241,853,234;13,799,721,393,562;5,849,795,454,018;1,027,530,555,366
1300144;Apuí;;;5,251,851,066,721;17,900,863,783,276
