PIB Municipal - serviços - administração pública - valor adicionado - preços básicos
Sigla,Código,Município,1970,1975,1980,1985,1996,
BA,2901304,Andaraí,1376.6943741066,1736.4571049338,1837.4581780702,4385.3739455722,8203.4988197261,
BA,2901353,Andorinha,,,,,4188.79185308,
BA,2901403,Angical,931.365988065,575.8200627038,298.6620847843,1557.6877481146,6638.6255320098,
BA,2901502,Anguera,630.2319277897,729.7375732008,708.8590636822,1287.6594599576,2860.6640074245,
BA,2901601,Antas,1233.0707382836,1300.7613125142,1151.1558184545,3718.559268898,8631.6611075459,
BA,2901700,Antônio Cardoso,151.0426050907,555.4518408584,1713.642541,1336.8149053613,2000.6432359439,
BA,2901809,Antônio Gonçalves,508.8651997699,783.3648773672,1011.7013318912,3175.1590402291,4833.704228576,
BA,2901908,Aporá,338.0386766323,741.9882559929,1366.3266886516,2898.357203426,6098.8894272403,
BA,2901957,Apuarema,,,,,4754.9513470495,
BA,2902005,Aracatu,116.0402885457,317.9446456979,730.8379872937,3058.2872008505,9579.7122393643,
BA,2902054,Araças,,,,,2611.9980943022,
BA,2902104,Araci,643.9284864379,1484.9396712097,2872.8097313988,6286.285273379,13409.898656757,
BA,2902203,Aramari,509.2456597323,1157.7591490448,2208.1877108643,3732.436847246,5267.7033524943,
BA,2902252,Arataca,,,,,5141.4200224246,
BA,2902302,Aratuípe,1169.8192695273,1810.1121997895,2349.736166861,2902.4026452578,3380.725849077,
BA,2902401,Aurelino Leal,722.9690436358,2481.2904530425,7144.3445118542,11036.9650086737,9845.2623340679,
BA,2902500,Baianópolis,534.546247235,529.6909267052,440.3385055796,1427.0922337733,4972.7437735868,
BA,2902609,Baixa Grande,336.2314918106,1027.17487412,2632.5538829302,3039.8507478197,5716.7972667413,
BA,2902658,Banzaê,,,,,2499.3637921333,
BA,2902708,Barra,2399.941443102,3257.6432686225,3709.6529824129,10028.6307262404,23736.5275269859,
BA,2902807,Barra da Estiva,976.3553786241,881.6619975782,667.9180835321,1489.5843955975,4085.8369193613,
BA,2902906,Barra do Choça,262.517374087,431.8999836026,596.1220760046,2319.3261842383,10096.8381973604,
BA,2903003,Barra do Mendes,291.0518712702,572.0203427066,943.1470992647,2200.6533344429,6866.0058612178,
BA,2903102,Barra do Rocha,496.1197910281,833.2347475141,1174.0188624936,2968.0021533807,5512.7424756053,
BA,2903201,Barreiras,3335.3022607726,12620.4704818011,40062.936111493,85720.3210446124,156257.839462728,
BA,2903235,Barro Alto,,,,,1838.8294391482,
BA,2903276,Barrocas,,,,,,
BA,2903300,Governador Lomanto Júnior,1241.4408574575,1814.0168799523,2223.73737277,3181.544724591,4099.9851562904,
BA,2903409,Belmonte,5133.9267332303,4667.4586986363,3559.9031461341,8442.9334819493,15075.9175179513,
BA,2903508,Belo Campo,722.2081237109,457.863321785,243.5208896967,610.4188623645,2951.2952121861,
BA,2903607,Biritinga,83.7011917379,135.8611784439,185.0060771884,667.1141481676,4183.6369670791,
BA,2903706,Boa Nova,1882.7061241582,1981.1567147516,1748.9685808907,6184.9445507046,9381.4215074794,
BA,2903805,Boa Vista do Tupim,347.645290684,728.5794079784,1280.985801065,2198.94545217,3230.3831147721,
BA,2903904,Bom Jesus da Lapa,14106.5993725385,19161.7844616098,21836.1691842034,32329.7562407075,37598.628800246,
BA,2903953,Bom Jesus da Serra,,,,,1730.4026395054,
BA,2904001,Boninal,842.3383568528,1427.2673294977,2028.8547397526,3694.0322211602,6075.4124439594,
BA,2904050,Bonito,,,,,3433.3189637437,
BA,2904100,Boquira,328.1467176086,994.6323838005,2529.2048582137,4032.3393713094,9313.5788906304,
BA,2904209,Botuporã,700.7121358326,1047.2151630238,234.1174158511,4486.1103162808,1361.0683090276,
BA,2904308,Brejões,852.6107758389,1655.7557652069,2697.5444897983,3339.290914118,4180.3268808087,
BA,2904407,Brejolândia,133.1609868557,159.2435896334,159.7621123487,722.8203493527,2410.5375895181,
BA,2904506,Brotas de Macaúbas,1353.2960864161,1210.6187765717,908.5500709546,1817.96165055,4402.6545843831,
BA,2904605,Brumado,6170.8703608738,13466.1176773657,24652.7442031441,35311.812899464,41902.6523798889,
BA,2904704,Buerarema,1853.8862820031,4709.0049466901,10034.6466434668,16748.0618321787,11208.3787185989,
BA,2904753,Buritirama,,,,,4086.1072357082,
BA,2904803,Caatiba,267.2731236176,201.1567754425,127.0108793172,858.4361249893,4903.7392030697,
BA,2904852,Cabaceiras do Paraguaçu,,,,,2667.912238752,
BA,2904902,Cachoeira,4115.8158737281,5740.5991805137,6717.1553587737,13499.4496283914,21520.0022770061,
BA,2905008,Caculé,3259.4004982648,2612.6697251742,1756.9450533446,2618.5131529083,9077.2654346636,
BA,2905107,Caém,194.0345808469,418.5129173671,757.2956788605,2702.6362819208,9049.4006465881,
BA,2905156,Caetanos,,,,,2731.0600091321,
BA,2905206,Caetité,3345.1942197961,7434.3382572498,13860.8600466344,26346.1460611852,30576.2347960479,
BA,2905305,Cafarnaum,401.3852603792,1812.7027583949,399.4052808722,2431.7746561551,3967.4098668012,
BA,2905404,Cairu,521.8008384931,350.7214456618,197.7637798493,891.4406377932,4341.409053869,
BA,2905503,Caldeirão Grande,525.1298631644,1364.8287384615,2975.8873156333,5724.9601832691,6896.8640530683,
BA,2905602,Camacan,6385.6400096738,8921.7817450545,10457.4462161786,9071.8824803487,8798.3940363091,
BA,2905701,Camaçari,4470.5947887078,15207.05485974,43396.209721362,91633.5656760828,124588.141014306,
BA,2905800,Camamu,2022.4300453661,2944.7712894207,3597.1331471209,10322.9498877966,19471.1921832782,
BA,2905909,Campo Alegre de Lourdes,547.4818859582,839.2333110406,1079.2512347339,2904.6805142226,3725.3772696514,
BA,2906006,Campo Formoso,2206.66778218,2303.3377572925,2016.9966684039,7247.065142154,16218.9838531524,
BA,2906105,Canápolis,275.45301281,729.9065890932,1622.6091587304,2788.9128036157,3192.0850905769,
BA,2906204,Canarana,373.801913102,599.9488409717,807.8185080303,3157.4083058549,5017.630263276,
BA,2906303,Canavieiras,8928.1588237021,9019.816329408,7644.6985080363,11179.7627509631,11516.4211433099,
BA,2906402,Candeal,1644.9186476301,1456.0495510986,1081.2715274654,3145.4046931702,6688.2853703864,
BA,2906501,Candeias,9266.8633052685,12175.7237750905,13420.9636012685,27340.735441783,44055.2419042355,
BA,2906600,Candiba,76.091992489,224.5271877925,555.8092866847,2079.7519039566,3806.06409295,
BA,2906709,Cândido Sales,248.2501254953,715.6946784158,1730.983710088,4821.4160570033,9020.0624246404,
BA,2906808,Cansanção,521.2301485494,1689.6408055864,4595.0065253076,9950.4090998884,12352.3336611773,
BA,2906824,Canudos,,,,,4540.7037270481,
BA,2906857,Capela do Alto Alegre,,,,,8458.0343275819,
BA,2906873,Capim Grosso,,,,,6900.7517051121,
BA,2906899,Caraíbas,,,,,6166.4092649934,
BA,2906907,Caravelas,8859.4858004808,7092.4974899983,13646.4918647201,17657.1667766841,17464.9435723293,
BA,2907004,Cardeal da Silva,0,1126.5524433737,1297.7685783038,2106.1553302727,2835.0521993009,
