2918605;Jussiape;205;501;610;1041
2918704;Lafaiete Coutinho;130;395;142;303
2918753;Lagoa Real;;;165;759
2918803;Laje;497;1042;1064;1934
2918902;Lajedão;157;452;498;520
2919009;Lajedinho;144;424;189;271
2919058;Lajedo do Tabocal;;;259;733
2919108;Lamarão;187;392;337;796
2919157;Lapão;;;1032;2507
2919207;Lauro de Freitas;464;4827;11353;36127
2919306;Lençóis;245;498;457;1102
2919405;Licínio de Almeida;330;827;693;1407
2919504;Livramento de Nossa Senhora;682;2015;2139;4282
2919553;Luís Eduardo Magalhães;;;;
2919603;Macajuba;149;436;379;716
2919702;Macarani;325;852;709;1348
2919801;Macaúbas;668;1332;1300;3150
2919900;Macururé;172;349;178;625
2919926;Madre de Deus;;;795;1923
2919959;Maetinga;;;374;814
2920007;Maiquinique;161;437;331;686
2920106;Mairi;894;2123;929;1497
2920205;Malhada;375;1137;443;912
2920304;Malhada de Pedras;201;355;377;587
2920403;Manoel Vitorino;284;824;524;1104
2920452;Mansidão;;;285;486
2920502;Maracás;605;1812;1247;2301
2920601;Maragogipe;1256;3565;1887;3388
2920700;Maraú;345;902;1256;1944
2920809;Marcionílio Souza;239;856;436;902
2920908;Mascote;409;1819;744;1187
2921005;Mata de São João;1304;3373;2158;4146
2921054;Matina;;;259;436
2921104;Medeiros Neto;830;2435;1844;2959
2921203;Miguel Calmon;616;1563;1238;2469
2921302;Milagres;267;693;508;1214
2921401;Mirangaba;236;840;484;882
2921450;Mirante;;;377;721
2921500;Monte Santo;948;2318;1804;2629
2921609;Morpará;164;347;289;669
2921708;Morro do Chapéu;650;2638;1734;3642
2921807;Mortugaba;165;505;524;1062
2921906;Mucugê;149;497;525;1033
2922003;Mucuri;449;1547;1401;4932
2922052;Mulungu do Morro;;;487;880
2922102;Mundo Novo;699;1444;1331;1925
2922201;Muniz Ferreira;232;407;271;621
2922250;Muquém de São Francisco;;;275;721
2922300;Muritiba;966;2258;1463;3528
2922409;Mutuípe;509;1438;948;3534
2922508;Nazaré;1028;2264;1645;2809
2922607;Nilo Peçanha;257;636;579;789
2922656;Nordestina;;;271;710
2922706;Nova Canaã;394;1008;750;1229
2922730;Nova Fátima;;;963;866
2922755;Nova Ibiá;;;494;578
2922805;Nova Itarana;128;409;224;470
2922854;Nova Redenção;;;382;629
2922904;Nova Soure;352;1248;1200;1750
2923001;Nova Viçosa;491;2097;2073;4009
2923035;Novo Horizonte;;;569;878
2923050;Novo Triunfo;;;307;819
2923100;Olindina;299;1001;829;2044
2923209;Oliveira dos Brejinhos;407;850;687;1461
2923308;Ouriçangas;158;285;331;539
2923357;Ourolândia;;;496;1026
2923407;Palmas de Monte Alto;308;1003;906;2161
2923506;Palmeiras;161;510;453;856
2923605;Paramirim;436;1494;829;3213
2923704;Paratinga;461;726;704;1338
2923803;Paripiranga;572;2796;1835;2466
2923902;Pau Brasil;629;1560;769;1212
2924009;Paulo Afonso;2432;8044;9401;16162
2924058;Pé de Serra;;;553;913
