"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"230730";"Juazeiro do Norte";"2153";"1991";"8004";"1991";"4.035.573.622";"173566";"17417"
"9115";"Município (1991)";"230740";"Jucás";"2154";"1991";"8004";"1991";"190.947.359";"21100";"2019"
"9115";"Município (1991)";"291845";"Jucuruçu";"2155";"1991";"8004";"1991";"146.813.946";"16012";"2127"
"9115";"Município (1991)";"240610";"Jucurutu";"2156";"1991";"8004";"1991";"208.425.622";"14684";"1758"
"9115";"Município (1991)";"510515";"Juína";"2157";"1991";"8004";"1991";"1.574.086.921";"36581";"3575"
"9115";"Município (1991)";"313670";"Juiz de Fora";"2158";"1991";"8004";"1991";"24.582.490.105";"385996";"39977"
"9115";"Município (1991)";"431120";"Júlio de Castilhos";"2159";"1991";"8004";"1991";"998.862.880";"25133";"2661"
"9115";"Município (1991)";"352580";"Júlio Mesquita";"2160";"1991";"8004";"1991";"108.093.852";"3843";"706"
"9115";"Município (1991)";"250780";"Junco do Seridó";"2161";"1991";"8004";"1991";"55.484.714";"5768";"1260"
"9115";"Município (1991)";"270390";"Jundiá";"2162";"1991";"8004";"1991";"199.990.773";"15074";"2701"
"9115";"Município (1991)";"352590";"Jundiaí";"2163";"1991";"8004";"1991";"24.172.792.995";"289269";"29079"
"9115";"Município (1991)";"411290";"Jundiaí do Sul";"2164";"1991";"8004";"1991";"110.663.109";"4223";"881"
"9115";"Município (1991)";"270400";"Junqueiro";"2165";"1991";"8004";"1991";"273.064.026";"22221";"2553"
"9115";"Município (1991)";"352600";"Junqueirópolis";"2166";"1991";"8004";"1991";"658.363.533";"17708";"1810"
"9115";"Município (1991)";"260830";"Jupi";"2167";"1991";"8004";"1991";"208.952.027";"19865";"2888"
"9115";"Município (1991)";"352610";"Juquiá";"2168";"1991";"8004";"1991";"534.043.409";"16954";"2132"
"9115";"Município (1991)";"352620";"Juquitiba";"2169";"1991";"8004";"1991";"646.592.435";"19969";"1756"
"9115";"Município (1991)";"313680";"Juramento";"2170";"1991";"8004";"1991";"94.840.126";"6389";"1416"
"9115";"Município (1991)";"411295";"Juranda";"2171";"1991";"8004";"1991";"304.817.479";"8796";"1834"
"9115";"Município (1991)";"260840";"Jurema";"2172";"1991";"8004";"1991";"116.009.445";"12688";"2860"
"9115";"Município (1991)";"250790";"Juripiranga";"2173";"1991";"8004";"1991";"98.716.588";"9405";"1844"
"9115";"Município (1991)";"250800";"Juru";"2174";"1991";"8004";"1991";"57.473.196";"10523";"2168"
"9115";"Município (1991)";"130220";"Juruá";"2175";"1991";"8004";"1991";"59.422.933";"5045";"971"
"9115";"Município (1991)";"313690";"Juruaia";"2176";"1991";"8004";"1991";"147.366.994";"6578";"1461"
"9115";"Município (1991)";"510517";"Juruena";"2177";"1991";"8004";"1991";"284.049.759";"5956";"1079"
"9115";"Município (1991)";"150390";"Juruti";"2178";"1991";"8004";"1991";"319.804.299";"23262";"2075"
"9115";"Município (1991)";"510520";"Juscimeira";"2179";"1991";"8004";"1991";"435.129.782";"10948";"1134"
"9115";"Município (1991)";"411300";"Jussara";"2180";"1991";"8004";"1991";"200.028.974";"6046";"1258"
"9115";"Município (1991)";"291850";"Jussara";"2181";"1991";"8004";"1991";"167.018.950";"14002";"1461"
"9115";"Município (1991)";"521220";"Jussara";"2182";"1991";"8004";"1991";"771.304.134";"20917";"2257"
"9115";"Município (1991)";"291855";"Jussari";"2183";"1991";"8004";"1991";"85.768.160";"8470";"1861"
"9115";"Município (1991)";"291860";"Jussiape";"2184";"1991";"8004";"1991";"167.515.063";"10229";"2344"
"9115";"Município (1991)";"130230";"Jutaí";"2185";"1991";"8004";"1991";"186.645.029";"14890";"2604"
"9115";"Município (1991)";"500515";"Juti";"2186";"1991";"8004";"1991";"105.507.766";"5273";"1166"
"9115";"Município (1991)";"411310";"Kaloré";"2187";"1991";"8004";"1991";"208.680.316";"6568";"1471"
"9115";"Município (1991)";"130240";"Lábrea";"2188";"1991";"8004";"1991";"525.481.051";"33052";"3201"
"9115";"Município (1991)";"420920";"Lacerdópolis";"2189";"1991";"8004";"1991";"69.811.336";"2080";"395"
"9115";"Município (1991)";"313700";"Ladainha";"2190";"1991";"8004";"1991";"160.897.867";"16601";"3683"
"9115";"Município (1991)";"500520";"Ladário";"2191";"1991";"8004";"1991";"314.068.877";"11981";"2291"
"9115";"Município (1991)";"291870";"Lafaiete Coutinho";"2192";"1991";"8004";"1991";"38.471.229";"5125";"1204"
"9115";"Município (1991)";"313710";"Lagamar";"2193";"1991";"8004";"1991";"201.314.848";"8130";"1737"
"9115";"Município (1991)";"280350";"Lagarto";"2194";"1991";"8004";"1991";"1.413.153.300";"72144";"7783"
"9115";"Município (1991)";"420930";"Lages";"2195";"1991";"8004";"1991";"6.554.834.877";"151235";"15550"
"9115";"Município (1991)";"210570";"Lago da Pedra";"2196";"1991";"8004";"1991";"488.434.090";"46877";"4507"
"9115";"Município (1991)";"210580";"Lago do Junco";"2197";"1991";"8004";"1991";"255.986.088";"19276";"1950"
"9115";"Município (1991)";"210590";"Lago Verde";"2198";"1991";"8004";"1991";"109.828.099";"13220";"2762"
"9115";"Município (1991)";"250810";"Lagoa";"2199";"1991";"8004";"1991";"38.263.618";"5756";"1380"
