"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"2206001";"Marcos Parente";"2907";"2000";"8005";"2000";"446.960";"4279";"903"
"9035";"Município";"4114609";"Marechal Cândido Rondon";"2908";"2000";"8005";"2000";"14.009.429";"41007";"4218"
"9035";"Município";"2704708";"Marechal Deodoro";"2909";"2000";"8005";"2000";"3.979.008";"35866";"3631"
"9035";"Município";"3203346";"Marechal Floriano";"2910";"2000";"8005";"2000";"3.012.745";"12188";"2567"
"9035";"Município";"1200351";"Marechal Thaumaturgo";"2911";"2000";"8005";"2000";"377.362";"8295";"1315"
"9035";"Município";"4210555";"Marema";"2912";"2000";"8005";"2000";"766.989";"2651";"532"
"9035";"Município";"2509107";"Mari";"2913";"2000";"8005";"2000";"1.843.971";"20663";"2185"
"9035";"Município";"3139904";"Maria da Fé";"2914";"2000";"8005";"2000";"2.836.914";"14607";"1520"
"9035";"Município";"4114708";"Maria Helena";"2915";"2000";"8005";"2000";"825.923";"6384";"1397"
"9035";"Município";"4114807";"Marialva";"2916";"2000";"8005";"2000";"8.756.528";"28702";"3026"
"9035";"Município";"3140001";"Mariana";"2917";"2000";"8005";"2000";"10.062.786";"46710";"5080"
"9035";"Município";"4311981";"Mariana Pimentel";"2918";"2000";"8005";"2000";"852.754";"3733";"800"
"9035";"Município";"4312005";"Mariano Moro";"2919";"2000";"8005";"2000";"818.339";"2474";"517"
"9035";"Município";"1712504";"Marianópolis do Tocantins";"2920";"2000";"8005";"2000";"564.163";"3332";"732"
"9035";"Município";"3528908";"Mariápolis";"2921";"2000";"8005";"2000";"661.111";"3854";"792"
"9035";"Município";"2704807";"Maribondo";"2922";"2000";"8005";"2000";"1.569.575";"15145";"3481"
"9035";"Município";"3302700";"Maricá";"2923";"2000";"8005";"2000";"24.628.276";"76737";"7847"
"9035";"Município";"3140100";"Marilac";"2924";"2000";"8005";"2000";"480.171";"4424";"867"
"9035";"Município";"3203353";"Marilândia";"2925";"2000";"8005";"2000";"1.843.157";"9924";"2003"
"9035";"Município";"4114906";"Marilândia do Sul";"2926";"2000";"8005";"2000";"1.755.139";"9071";"2065"
"9035";"Município";"4115002";"Marilena";"2927";"2000";"8005";"2000";"1.185.277";"6756";"1452"
"9035";"Município";"3529005";"Marília";"2928";"2000";"8005";"2000";"82.469.125";"197342";"19939"
"9035";"Município";"4115101";"Mariluz";"2929";"2000";"8005";"2000";"1.472.540";"10296";"2214"
"9035";"Município";"4115200";"Maringá";"2930";"2000";"8005";"2000";"133.928.074";"288653";"29400"
"9035";"Município";"3529104";"Marinópolis";"2931";"2000";"8005";"2000";"391.234";"2195";"457"
"9035";"Município";"3140159";"Mário Campos";"2932";"2000";"8005";"2000";"1.770.153";"10535";"2098"
"9035";"Município";"4115309";"Mariópolis";"2933";"2000";"8005";"2000";"1.498.043";"6017";"1273"
"9035";"Município";"4115358";"Maripá";"2934";"2000";"8005";"2000";"1.726.696";"5889";"1158"
"9035";"Município";"3140209";"Maripá de Minas";"2935";"2000";"8005";"2000";"659.153";"2594";"496"
"9035";"Município";"1504422";"Marituba";"2936";"2000";"8005";"2000";"9.460.396";"74429";"7762"
"9035";"Município";"2509156";"Marizópolis";"2937";"2000";"8005";"2000";"467.580";"5618";"1199"
"9035";"Município";"3140308";"Marliéria";"2938";"2000";"8005";"2000";"669.382";"4044";"786"
"9035";"Município";"4115408";"Marmeleiro";"2939";"2000";"8005";"2000";"2.692.409";"13665";"2835"
